Cement,Blast_Furnace_Slag,Superplasticizer,Coarse_Aggregate,Age,Strength
239.6,359.4,0.0,941.6,28,39.44
310.0,0.0,0.0,1012.0,3,11.85
181.9,272.8,0.0,1012.4,7,12.37
153.0,102.0,0.0,888.0,3,4.78
307.0,0.0,0.0,968.0,365,36.15
233.8,0.0,4.6,947.0,3,10.38
153.1,145.0,8.0,867.2,28,26.23
284.0,15.0,5.5,842.0,28,43.73
287.0,121.0,9.0,904.0,28,41.94
342.0,38.0,0.0,932.0,270,55.06
389.9,189.0,22.0,944.7,56,79.4
272.6,0.0,10.6,931.3,28,32.25
132.0,207.0,5.0,867.0,28,33.3
173.0,116.0,0.0,946.8,28,24.28
277.2,97.8,11.2,1061.7,14,47.71
288.0,192.0,0.0,932.0,7,23.52
231.8,0.0,6.7,1056.4,100,45.84
313.3,0.0,8.0,1001.9,28,36.8
349.0,0.0,0.0,1056.0,90,40.66
246.8,0.0,12.0,1086.8,3,23.52
540.0,0.0,0.0,1125.0,180,71.62
252.1,97.1,8.3,835.5,28,33.4
380.0,95.0,0.0,932.0,7,32.82
540.0,0.0,0.0,1125.0,14,59.76
332.5,142.5,0.0,932.0,270,40.27
397.0,0.0,0.0,1040.6,7,25.45
376.0,0.0,0.0,1003.5,3,16.28
184.0,86.0,6.0,923.0,28,22.93
220.8,147.2,0.0,1055.0,28,25.75
214.9,53.8,9.6,1014.3,100,56.63
166.0,259.7,12.7,858.8,28,37.92
491.0,26.0,3.9,822.0,7,37.92
313.0,0.0,8.0,1002.0,28,36.8
475.0,0.0,0.0,932.0,270,42.13
266.0,114.0,0.0,932.0,365,52.91
212.5,0.0,8.7,1007.8,14,26.31
382.0,0.0,0.0,1047.0,28,37.42
190.3,0.0,9.9,1088.1,28,28.47
277.2,97.8,11.2,1061.7,56,66.82
332.5,142.5,0.0,932.0,365,41.05
168.0,42.1,5.7,1058.7,100,39.23
480.0,0.0,0.0,936.2,7,34.57
339.0,0.0,0.0,968.0,7,20.97
246.8,0.0,12.0,1086.8,14,42.22
425.0,106.3,16.5,852.1,28,60.29
250.0,0.0,5.3,948.9,56,39.64
388.6,97.1,12.1,852.1,3,28.1
286.3,200.9,11.2,1004.6,3,24.4
295.7,0.0,8.9,955.1,14,35.23
323.7,282.8,10.3,942.7,3,28.3
400.0,0.0,0.0,1025.0,7,30.14
289.0,134.0,6.0,924.0,28,46.24
155.0,183.0,9.0,877.0,28,23.79
167.4,129.9,7.8,1006.3,14,31.81
213.7,0.0,10.2,1053.5,56,46.64
255.0,0.0,0.0,889.8,7,10.22
149.5,236.0,12.6,846.8,28,32.96
339.0,0.0,0.0,1060.0,28,31.65
266.0,114.0,0.0,932.0,90,47.03
280.0,129.0,9.0,825.0,28,52.82
387.0,20.0,13.9,938.0,3,25.51
318.8,212.5,14.3,852.1,7,33.4
182.0,45.2,8.2,1059.4,14,21.5
315.0,137.0,5.9,1130.0,28,81.75
336.0,0.0,3.0,986.0,28,44.86
150.0,237.0,12.0,1069.0,28,37.43
275.0,180.0,10.4,830.0,28,76.24
108.3,162.4,0.0,938.2,28,20.59
500.0,0.0,9.0,1033.0,28,69.84
424.0,22.0,8.9,822.0,56,74.36
362.6,189.0,11.6,944.7,28,71.3
321.0,164.0,5.0,870.0,28,57.21
251.4,0.0,5.8,1028.4,3,17.22
333.0,0.0,0.0,931.2,7,23.4
475.0,0.0,0.0,932.0,28,39.29
166.1,0.0,4.5,1058.6,14,25.48
225.0,0.0,0.0,1113.0,7,11.17
362.6,189.0,11.6,944.7,3,35.3
310.0,0.0,0.0,970.0,180,37.33
277.0,0.0,0.0,968.0,3,11.36
203.5,305.3,0.0,963.4,7,19.54
212.6,0.0,10.4,1003.8,100,47.74
251.8,0.0,12.4,1006.0,3,21.02
213.8,98.1,6.7,1066.0,14,17.84
155.0,0.0,9.0,877.0,28,9.74
451.0,0.0,11.3,1030.0,28,78.8
446.0,24.0,11.6,967.0,28,51.02
250.0,0.0,5.5,956.9,28,29.22
148.0,0.0,16.0,1002.0,28,17.95
298.1,0.0,12.8,953.2,28,35.87
480.0,0.0,0.0,936.0,3,24.39
359.0,19.0,10.9,942.0,3,25.12
387.0,20.0,14.3,938.0,3,22.75
528.0,0.0,6.9,920.0,28,56.83
387.0,20.0,13.9,938.0,7,45.9
330.5,169.6,8.1,811.0,28,56.62
173.8,93.4,9.7,1007.2,56,48.99
380.0,95.0,0.0,932.0,28,36.45
379.5,151.2,15.9,1134.3,91,56.5
295.8,0.0,0.0,1091.4,7,14.84
167.0,75.4,7.9,1007.3,100,56.81
491.0,26.0,3.9,822.0,56,61.86
165.0,128.5,8.1,1005.8,56,53.72
393.0,0.0,0.0,940.0,90,48.79
289.0,133.7,5.5,924.1,28,46.25
277.2,97.8,11.2,1061.7,100,66.95
339.0,0.0,0.0,968.0,90,35.17
143.7,170.2,8.5,814.1,28,29.87
252.5,0.0,0.0,1111.6,28,19.77
254.0,0.0,0.0,968.0,365,29.79
238.2,158.8,0.0,1040.6,7,15.69
236.0,0.0,0.0,968.0,28,18.42
350.0,0.0,0.0,974.0,14,22.53
446.0,24.0,11.6,967.0,28,44.42
446.0,24.0,11.6,967.0,3,23.35
250.0,0.0,5.5,956.9,56,38.33
376.0,0.0,0.0,1003.5,28,31.97
540.0,0.0,0.0,1125.0,90,69.66
213.8,98.1,6.7,1066.0,28,40.23
318.8,212.5,14.3,852.1,3,25.2
475.0,118.8,8.9,852.1,91,74.19
252.3,0.0,14.2,987.8,28,50.6
122.6,183.9,0.0,958.2,28,24.29
153.0,145.0,8.0,1002.0,28,25.56
359.0,19.0,10.9,942.0,56,66.78
214.9,53.8,9.6,1014.3,28,52.2
424.0,22.0,8.9,822.0,28,72.1
298.1,0.0,6.1,879.0,28,42.64
531.3,0.0,28.2,852.1,56,58.8
331.0,0.0,0.0,1025.0,90,37.91
275.1,0.0,9.9,1053.6,14,38.77
108.3,162.4,0.0,938.2,90,29.23
166.8,250.2,0.0,975.6,28,33.95
540.0,0.0,2.5,1040.0,28,79.99
297.2,0.0,9.5,1022.8,14,36.99
349.0,0.0,0.0,1056.0,7,9.01
228.0,342.1,0.0,955.8,28,39.7
331.0,170.0,8.0,811.0,28,56.61
193.5,290.2,0.0,998.2,28,32.63
491.0,26.0,3.9,882.0,3,25.61
250.0,0.0,5.3,948.9,14,24.66
194.7,0.0,7.5,1006.4,28,25.72
374.0,189.2,10.1,926.1,56,63.4
251.4,0.0,5.8,1043.6,3,11.98
251.4,0.0,5.8,1043.6,28,33.27
339.2,0.0,0.0,1069.2,7,21.18
167.0,187.0,7.0,898.0,28,23.89
425.0,106.3,16.5,852.1,7,49.2
266.2,112.3,10.4,909.7,28,39.42
212.1,0.0,5.7,1057.6,14,20.92
168.9,42.2,10.8,1080.8,100,48.15
312.9,160.5,9.6,916.6,28,52.45
485.0,0.0,0.0,1120.0,28,71.99
251.8,0.0,12.4,1006.0,14,33.36
469.0,117.2,32.2,852.1,56,69.3
252.3,0.0,14.2,987.8,3,21.78
167.4,129.9,7.8,1006.3,56,51.72
213.5,0.0,11.7,1052.3,14,33.7
313.3,262.2,8.6,1046.9,91,66.6
178.0,129.8,3.6,1007.3,56,48.59
236.0,0.0,0.0,968.0,14,12.84
401.8,94.7,11.4,946.8,56,73.7
446.0,24.0,10.3,967.0,28,53.39
222.4,0.0,4.5,967.1,100,40.71
427.5,47.5,0.0,932.0,28,37.43
303.6,139.9,6.2,895.5,28,33.42
190.3,0.0,9.9,1088.1,56,38.56
167.0,75.4,7.9,1007.3,3,15.52
236.0,157.0,0.0,972.6,3,13.57
233.8,0.0,4.6,947.0,100,34.56
349.0,0.0,0.0,1056.0,3,15.87
439.0,177.0,11.1,884.9,56,71.7
194.7,0.0,7.5,1006.4,56,33.96
380.0,95.0,0.0,932.0,365,43.7
192.0,288.0,0.0,929.8,28,39.32
491.0,26.0,3.9,882.0,7,33.49
425.0,106.3,18.6,936.0,3,36.3
173.0,116.0,0.0,946.8,90,32.1
159.8,250.0,12.2,1049.3,28,39.46
212.6,0.0,10.4,1003.8,56,44.4
425.0,106.3,16.5,852.1,91,65.2
313.3,145.0,8.0,1001.9,28,41.05
212.5,0.0,8.7,1007.8,100,42.92
238.1,0.0,7.0,949.9,3,19.93
158.4,0.0,11.0,897.7,28,8.54
359.0,19.0,10.9,942.0,28,59.49
388.6,97.1,12.1,852.1,56,55.2
288.4,121.0,7.0,907.9,28,42.14
144.8,0.0,11.1,979.5,28,13.2
230.0,0.0,4.6,1029.4,3,10.03
427.5,47.5,0.0,932.0,365,43.7
295.0,0.0,0.0,1069.0,7,14.8
313.3,262.2,8.6,1046.9,28,59.8
277.0,0.0,0.0,968.0,90,31.25
475.0,0.0,0.0,932.0,365,41.93
213.5,0.0,11.7,1043.6,14,29.59
190.3,0.0,9.9,1079.0,100,33.56
331.0,0.0,0.0,879.0,3,13.52
144.0,15.0,6.0,1021.0,28,15.34
380.0,0.0,0.0,932.0,365,52.52
387.0,20.0,14.3,938.0,7,36.84
210.7,316.1,0.0,977.0,7,21.82
181.9,272.8,0.0,1012.4,28,27.94
350.0,0.0,0.0,1050.0,28,34.29
203.5,305.3,0.0,963.4,90,51.86
149.0,117.6,7.1,953.4,28,23.52
218.2,54.6,11.9,1075.7,56,61.99
190.0,190.0,0.0,932.0,180,46.93
436.0,0.0,0.0,838.4,28,23.85
480.0,0.0,0.0,936.2,3,24.4
326.5,0.0,10.8,801.1,28,38.63
305.3,203.5,0.0,965.4,7,25.89
181.4,0.0,7.6,1055.6,100,45.37
277.0,0.0,0.0,968.0,28,25.97
238.0,0.0,0.0,1119.0,7,12.05
116.0,173.0,0.0,909.8,3,6.28
140.0,164.0,6.0,869.0,28,35.23
255.0,0.0,0.0,889.8,90,21.86
446.0,24.0,11.6,967.0,28,57.03
380.0,95.0,0.0,932.0,90,40.56
480.0,0.0,0.0,936.0,28,43.89
424.0,22.0,8.5,822.0,28,62.05
382.5,0.0,0.0,1047.8,28,37.44
251.4,0.0,5.8,1043.6,56,39.27
397.0,17.2,20.8,967.0,28,55.65
379.5,151.2,15.9,1134.3,3,28.6
266.0,114.0,0.0,932.0,270,51.73
331.0,0.0,0.0,1025.0,7,17.44
168.9,42.2,10.8,1080.8,28,31.12
295.7,0.0,8.9,955.1,3,22.95
516.0,0.0,8.2,801.0,28,41.37
376.0,0.0,0.0,1003.5,100,43.06
446.0,24.0,11.6,967.0,7,39.3
290.4,0.0,9.4,961.2,56,45.08
427.5,47.5,0.0,932.0,270,43.01
212.1,0.0,5.7,1057.6,28,24.9
333.0,17.5,17.9,996.0,28,47.28
148.0,0.0,15.0,839.0,28,15.52
250.0,0.0,0.0,1100.0,7,12.73
238.1,0.0,7.0,949.9,56,39.59
273.0,105.0,9.0,904.0,28,37.17
136.0,196.0,6.0,847.0,28,26.97
212.0,141.3,0.0,973.4,28,33.0
381.4,0.0,0.0,1104.6,28,22.49
236.0,0.0,0.0,968.0,90,21.95
382.0,0.0,0.0,1111.0,7,11.47
190.7,0.0,7.8,1090.0,14,21.06
212.0,141.3,0.0,973.4,3,6.81
102.0,153.0,0.0,887.0,90,25.46
277.0,0.0,0.0,968.0,14,21.26
147.8,175.1,2.2,1000.0,28,26.92
194.7,0.0,7.5,998.0,3,12.18
222.4,0.0,4.5,967.1,56,29.45
231.8,0.0,6.7,1056.4,56,42.7
116.0,173.0,0.0,909.8,90,31.02
155.0,184.0,9.0,880.0,28,28.99
252.0,0.0,0.0,1111.0,7,11.47
234.0,156.0,5.9,981.0,28,39.3
172.4,13.6,4.1,1006.3,28,33.69
375.0,93.8,23.4,852.1,3,29.0
469.0,117.2,32.2,852.1,28,66.9
316.1,210.7,0.0,977.0,7,24.44
309.9,142.8,22.1,913.9,28,38.22
190.3,0.0,9.9,1079.0,3,12.55
389.9,189.0,22.0,944.7,7,59.09
388.6,97.1,12.1,852.1,28,50.7
250.0,0.0,5.3,948.9,28,27.22
333.0,0.0,0.0,931.2,90,41.68
446.0,24.0,11.6,967.0,56,61.07
165.0,128.5,8.1,1005.8,28,46.39
375.0,93.8,23.4,852.1,7,45.7
284.0,119.7,7.2,970.4,28,40.93
313.3,262.2,8.6,1046.9,7,42.8
218.2,54.6,11.9,1075.7,14,35.96
321.4,0.0,11.5,870.1,28,37.27
152.7,144.7,8.0,999.7,28,19.01
150.0,236.8,11.9,1069.3,28,37.43
321.0,0.0,11.0,870.0,28,37.26
254.0,0.0,0.0,968.0,180,27.63
375.0,0.0,0.0,1038.0,7,26.06
469.0,117.2,32.2,852.1,7,54.9
198.6,132.4,0.0,978.4,28,28.02
165.0,128.5,8.1,1005.8,14,33.09
255.5,170.3,0.0,1026.6,7,17.24
380.0,0.0,0.0,932.0,180,53.1
237.5,237.5,0.0,932.0,365,39.0
213.5,0.0,11.7,1052.3,100,59.3
233.8,0.0,4.6,947.0,28,22.84
284.0,15.0,5.5,842.0,7,24.13
145.0,0.0,8.0,824.0,28,10.54
307.0,0.0,0.0,968.0,3,12.54
296.0,0.0,0.0,1085.0,90,29.39
323.7,282.8,10.3,942.7,7,49.8
173.5,50.1,6.5,1006.2,56,53.77
190.7,0.0,7.8,1090.0,56,35.34
213.5,0.0,11.7,1043.6,100,52.96
190.3,0.0,9.9,1079.0,28,24.85
212.0,141.3,0.0,973.4,7,15.03
277.0,117.0,7.0,946.0,28,43.57
192.0,288.0,0.0,929.8,90,50.73
190.7,0.0,7.8,1090.0,28,26.4
165.0,0.0,0.0,1005.6,14,16.88
200.0,133.0,0.0,965.4,7,17.17
522.0,0.0,0.0,896.0,7,50.51
151.8,178.1,18.3,944.0,28,36.35
312.7,0.0,8.0,999.7,28,25.1
165.0,128.5,8.1,1005.8,3,19.42
272.8,105.1,9.0,904.0,28,37.17
298.2,0.0,11.1,879.6,28,31.88
251.4,0.0,6.4,1028.4,28,32.66
382.5,0.0,0.0,1047.8,7,24.07
218.2,54.6,11.9,1075.7,3,27.42
380.0,0.0,0.0,932.0,90,52.91
213.7,0.0,10.2,1053.5,100,50.08
331.0,0.0,0.0,978.0,7,16.26
238.1,0.0,7.0,949.9,28,30.23
190.7,0.0,7.8,1090.0,100,40.57
355.9,0.0,11.0,801.4,28,40.87
139.6,209.4,0.0,1047.0,3,8.06
475.0,0.0,1.9,1098.0,28,57.23
212.0,141.3,0.0,973.4,90,39.7
151.0,0.0,16.0,1074.0,28,13.46
214.9,53.8,9.6,1014.3,3,18.02
213.5,0.0,11.7,1043.6,56,51.26
238.1,0.0,0.0,1118.8,28,17.58
288.0,121.0,7.0,908.0,28,42.13
168.0,42.1,5.7,1058.7,56,32.85
310.0,0.0,0.0,970.0,28,27.92
475.0,118.8,8.9,852.1,7,55.6
170.3,155.5,0.0,1026.6,28,25.73
190.0,190.0,0.0,932.0,28,40.86
203.5,305.3,0.0,963.4,3,9.56
277.1,0.0,11.8,973.9,100,55.64
310.0,143.0,22.0,914.0,28,33.69
165.0,0.0,0.0,1005.6,100,37.96
401.8,94.7,11.4,946.8,91,75.5
475.0,118.8,8.9,852.1,3,37.8
540.0,0.0,0.0,1125.0,270,74.17
251.4,0.0,5.8,1043.6,100,40.15
230.0,0.0,4.6,1029.4,56,31.54
168.9,42.2,10.8,1080.8,14,23.51
212.6,0.0,10.4,1003.8,14,25.37
424.0,22.0,8.5,822.0,56,65.7
401.8,94.7,11.4,946.8,28,68.5
252.0,97.0,8.0,835.0,28,33.4
393.0,0.0,0.0,940.6,28,39.6
326.0,166.0,9.0,882.0,28,61.23
254.0,0.0,0.0,968.0,3,9.31
313.3,262.2,8.6,1046.9,56,64.9
318.8,212.5,14.3,852.1,28,55.5
355.0,19.0,13.1,967.0,28,44.03
166.8,250.2,0.0,975.6,90,43.57
198.6,132.4,0.0,978.4,3,9.13
500.0,0.0,0.0,1125.0,270,55.16
313.3,145.0,8.0,867.2,28,40.93
334.0,17.6,15.3,967.0,28,44.33
182.0,45.2,8.2,1059.4,56,43.5
349.0,0.0,0.0,1047.0,3,15.05
218.9,0.0,11.3,1078.7,100,46.23
166.1,0.0,4.5,1058.6,3,10.76
260.9,100.5,8.6,864.5,28,32.4
298.0,0.0,11.0,880.0,28,31.87
322.0,0.0,10.0,818.0,28,31.18
181.4,0.0,7.6,1055.6,56,35.57
250.0,0.0,5.3,948.9,100,41.16
288.0,192.0,0.0,932.0,90,50.53
252.3,0.0,14.2,987.8,100,60.95
214.9,53.8,9.6,1014.3,14,38.6
154.8,0.0,9.1,1047.4,28,12.46
152.6,238.7,6.3,1001.8,28,26.86
469.0,117.2,32.2,852.1,91,70.7
337.9,189.0,9.5,944.7,28,49.9
525.0,0.0,0.0,1125.0,7,42.42
298.0,0.0,6.0,879.0,28,42.64
332.5,142.5,0.0,932.0,180,39.78
376.0,0.0,0.0,1003.5,56,36.3
143.0,169.4,8.4,967.4,28,29.73
337.9,189.0,9.5,944.7,56,59.89
387.0,20.0,14.3,938.0,56,56.34
172.4,13.6,4.1,1006.3,14,29.75
149.0,118.0,7.0,953.0,28,23.52
213.7,0.0,10.2,1053.5,3,17.57
475.0,0.0,0.0,932.0,180,42.62
153.0,239.0,6.0,1002.0,28,26.86
525.0,0.0,0.0,1125.0,270,67.11
159.0,149.0,15.0,953.0,28,27.68
251.4,0.0,5.8,1043.6,14,20.73
397.0,0.0,0.0,1040.6,28,33.08
250.2,166.8,0.0,977.6,90,47.71
475.0,0.0,0.0,932.0,90,42.23
190.7,0.0,7.8,1090.0,3,15.04
231.8,0.0,6.7,1056.4,3,15.44
322.0,149.0,8.0,951.0,28,52.42
153.0,102.0,0.0,888.0,28,17.96
296.0,0.0,0.0,1085.0,7,14.2
148.5,139.4,6.1,892.4,28,23.7
362.6,189.0,11.6,944.7,91,79.3
295.7,0.0,8.9,955.1,28,39.94
200.0,0.0,0.0,1125.0,28,12.25
