Cement,Blast_Furnace_Slag,Superplasticizer,Coarse_Aggregate,Age,Strength
252.5,0.0,0.0,1111.6,7,11.48
331.0,0.0,0.0,978.0,360,41.24
342.0,38.0,0.0,932.0,365,56.14
425.0,106.3,16.5,852.1,56,64.3
213.7,0.0,10.2,1053.5,28,40.15
251.4,0.0,6.4,1028.4,3,13.12
238.0,0.0,0.0,1119.0,28,17.54
374.3,0.0,6.7,1013.2,28,39.06
190.3,0.0,9.9,1088.1,3,9.45
531.3,0.0,28.2,852.1,28,56.4
250.0,0.0,0.0,1100.0,28,20.87
225.0,0.0,0.0,1113.0,28,17.34
212.1,0.0,5.7,1057.6,3,12.47
252.3,0.0,14.2,987.8,14,42.29
331.0,0.0,0.0,978.0,28,31.45
296.0,0.0,0.0,1090.0,7,18.91
159.0,187.0,11.0,990.0,28,32.76
305.3,203.5,0.0,965.4,90,54.6
155.6,243.5,10.7,1022.0,28,37.36
333.0,0.0,0.0,931.2,3,15.62
132.0,206.5,5.5,866.9,28,33.31
427.5,47.5,0.0,932.0,7,35.08
145.9,230.5,3.4,827.0,28,32.72
439.0,177.0,11.1,884.9,91,73.3
349.0,0.0,0.0,1047.0,3,14.99
194.7,0.0,7.5,1006.4,14,24.99
139.6,209.4,0.0,1047.0,90,39.36
393.0,0.0,0.0,940.6,90,48.85
237.5,237.5,0.0,932.0,7,26.26
297.8,137.2,6.0,878.4,28,53.52
149.0,139.0,6.0,892.0,28,23.69
480.0,0.0,0.0,936.2,90,54.32
192.0,288.0,0.0,929.8,7,21.48
491.0,26.0,3.9,822.0,3,29.55
277.1,0.0,11.8,973.9,56,51.04
281.0,0.0,0.0,1104.0,7,14.5
102.0,153.0,0.0,887.0,28,17.28
250.0,0.0,5.5,956.9,3,13.82
380.0,95.0,0.0,932.0,270,41.15
310.0,0.0,0.0,970.0,90,34.68
167.4,129.9,7.8,1006.3,100,53.66
145.4,0.0,7.8,824.0,28,10.54
385.0,0.0,20.0,903.0,28,55.55
250.0,0.0,5.5,956.9,100,42.35
332.5,142.5,0.0,932.0,90,37.72
158.6,148.9,15.0,953.3,28,27.68
160.0,128.0,6.4,824.0,28,39.4
387.0,20.0,11.6,938.0,7,41.67
310.0,142.8,10.0,914.3,28,45.3
152.0,0.0,8.0,992.0,28,12.18
331.0,0.0,0.0,1025.0,120,39.38
155.0,183.0,9.0,1047.0,28,18.28
190.3,0.0,9.9,1088.1,100,40.39
135.0,0.0,10.0,961.0,28,13.29
143.0,169.0,8.0,967.0,28,29.72
359.0,19.0,10.9,942.0,7,35.75
150.9,0.0,11.6,991.2,28,15.57
314.0,0.0,10.0,925.0,28,38.46
339.0,0.0,0.0,968.0,180,36.45
304.8,0.0,9.8,959.4,28,30.12
222.4,0.0,4.5,967.1,28,24.89
331.0,0.0,0.0,1025.0,28,31.74
318.8,212.5,14.3,852.1,91,68.1
350.0,0.0,0.0,974.0,90,31.35
154.8,183.4,9.1,1047.4,28,18.29
296.0,0.0,0.0,1085.0,28,21.65
375.0,93.8,23.4,852.1,28,56.7
250.0,0.0,5.5,956.9,14,24.92
318.0,0.0,6.0,861.0,28,40.06
439.0,177.0,11.1,884.9,7,56.1
165.0,0.0,0.0,1005.6,56,36.56
194.7,0.0,7.5,998.0,28,37.27
339.0,0.0,0.0,1069.0,28,31.84
236.0,0.0,0.0,968.0,365,25.08
154.8,0.0,9.1,877.2,28,9.74
183.9,122.6,0.0,959.2,7,10.79
323.7,282.8,10.3,942.7,28,74.7
304.0,76.0,0.0,932.0,90,49.19
531.3,0.0,28.2,852.1,91,59.2
190.3,0.0,9.9,1079.0,14,19.42
277.0,116.8,7.0,946.5,28,43.58
213.7,98.1,6.9,1065.8,28,45.71
183.9,122.6,0.0,959.2,28,24.05
237.0,92.0,6.0,853.0,28,28.63
349.0,0.0,0.0,1047.0,28,32.72
266.0,114.0,0.0,932.0,28,45.85
374.0,0.0,7.0,1013.0,28,39.05
237.5,237.5,0.0,932.0,28,30.08
446.0,24.0,11.6,967.0,3,25.02
183.9,122.6,0.0,959.2,90,32.53
251.4,0.0,5.8,1028.4,56,36.97
252.3,0.0,14.2,987.8,56,55.83
159.0,209.0,7.0,848.0,28,30.88
186.2,124.1,0.0,1083.4,28,17.6
157.0,236.0,0.0,935.4,90,43.38
349.0,0.0,0.0,1056.0,120,40.86
281.0,0.0,0.0,1104.0,28,22.44
181.4,0.0,7.6,1055.6,28,27.77
275.0,0.0,0.0,1088.0,28,24.5
249.1,0.0,12.8,987.8,28,30.85
167.0,75.4,7.9,1007.3,28,41.41
388.6,97.1,12.1,852.1,91,57.6
525.0,0.0,0.0,1125.0,28,55.94
250.2,166.8,0.0,977.6,7,19.35
313.0,0.0,8.0,1000.0,28,25.1
135.7,203.5,0.0,1076.2,7,7.51
322.0,0.0,0.0,974.0,14,20.77
424.0,22.0,8.9,822.0,3,32.11
375.0,93.8,23.4,852.1,91,62.5
425.0,106.3,18.6,936.0,91,66.7
500.0,0.0,0.0,1125.0,1,12.64
336.5,0.0,3.4,985.8,28,44.87
385.0,0.0,0.0,966.0,7,23.22
133.0,200.0,0.0,927.4,90,36.59
218.9,0.0,11.3,1078.7,56,37.27
387.0,20.0,11.6,938.0,28,46.68
213.5,0.0,11.7,1052.3,3,17.37
230.0,0.0,4.6,1029.4,14,20.08
389.9,189.0,22.0,944.7,28,74.5
149.0,236.0,13.0,847.0,28,32.96
325.0,0.0,0.0,1063.0,28,30.57
374.0,189.2,10.1,926.1,91,64.9
153.6,144.2,10.1,923.2,28,16.5
166.1,0.0,4.5,1058.6,28,21.54
275.0,0.0,0.0,1088.0,7,14.2
290.4,0.0,9.4,961.2,100,48.97
251.8,0.0,12.4,1006.0,56,44.14
173.5,50.1,6.5,1006.2,14,33.01
439.0,177.0,11.1,884.9,28,66.0
212.1,0.0,5.7,1057.6,56,34.2
168.0,42.1,5.7,1058.7,28,24.24
172.4,13.6,4.1,1006.3,100,37.68
231.8,0.0,6.7,1056.4,14,26.77
173.8,93.4,9.7,1007.2,28,37.81
393.0,0.0,0.0,940.0,3,19.11
349.0,0.0,0.0,1047.0,360,42.13
236.9,91.7,6.0,852.9,28,28.63
525.0,0.0,0.0,1125.0,180,61.92
148.0,175.0,2.0,1000.0,28,26.92
375.0,93.8,23.4,852.1,56,60.2
141.3,212.0,0.0,971.8,7,10.39
173.8,93.4,9.7,1007.2,14,29.55
310.0,0.0,0.0,970.0,360,38.11
262.0,111.0,5.0,895.0,28,33.72
350.0,0.0,0.0,974.0,28,27.34
151.6,0.0,7.9,992.0,28,12.18
229.7,0.0,6.1,1028.1,100,40.86
173.0,116.0,0.0,946.8,7,11.39
139.9,132.6,7.4,916.0,28,36.44
295.0,0.0,0.0,1069.0,28,25.18
304.0,140.0,6.0,895.0,28,33.42
148.1,0.0,16.1,1001.8,28,17.96
141.3,212.0,0.0,971.8,28,29.89
314.0,145.3,8.0,869.1,28,46.23
331.0,0.0,0.0,978.0,90,37.23
172.4,13.6,4.1,1006.3,3,21.29
321.3,164.2,4.6,870.0,28,57.22
289.0,0.0,0.0,913.2,3,11.65
182.0,45.2,8.2,1059.4,28,31.27
296.0,0.0,10.5,819.2,28,31.42
173.8,93.4,9.7,1007.2,100,50.94
284.0,15.0,5.5,842.0,3,13.4
475.0,118.8,8.9,852.1,28,68.3
141.3,212.0,0.0,971.8,90,39.66
212.5,0.0,8.7,1007.8,28,31.64
299.8,0.0,9.9,878.2,28,23.84
325.0,0.0,0.0,1063.0,7,17.54
116.0,173.0,0.0,909.8,28,22.35
145.0,116.0,5.7,833.0,28,29.16
287.3,120.5,9.2,904.4,28,43.8
261.0,100.0,9.0,864.0,28,32.4
212.5,0.0,8.7,1007.8,56,42.55
525.0,0.0,0.0,1125.0,3,33.8
133.0,200.0,0.0,927.4,3,6.88
297.2,0.0,9.5,1022.8,28,47.4
173.0,116.0,0.0,946.8,3,6.94
178.0,129.8,3.6,1007.3,28,39.16
149.0,153.0,8.0,935.0,28,24.58
349.0,0.0,0.0,1056.0,28,33.61
505.0,0.0,0.0,1030.0,28,64.02
251.4,0.0,6.4,1028.4,56,36.64
331.0,0.0,0.0,978.0,180,39.0
183.9,122.6,0.0,959.2,3,4.9
200.0,133.0,0.0,965.4,3,11.41
277.1,0.0,11.8,973.9,28,48.28
250.0,180.0,9.5,860.0,28,67.87
178.0,129.8,3.6,1007.3,3,20.73
238.1,0.0,7.0,949.9,100,44.3
141.9,166.6,10.9,882.6,28,44.61
298.0,137.0,6.0,878.0,28,53.52
387.0,20.0,11.6,938.0,56,61.46
218.9,0.0,11.3,1078.7,28,30.22
359.0,19.0,10.9,942.0,56,68.75
133.0,200.0,0.0,927.4,28,27.87
313.8,0.0,10.1,925.3,28,38.46
259.9,100.6,10.4,935.7,28,49.77
156.0,178.0,7.0,854.0,28,29.41
350.0,0.0,0.0,1050.0,7,20.28
153.0,145.0,8.0,867.0,28,26.23
366.0,187.0,6.6,824.3,28,65.91
288.0,192.0,0.0,932.0,3,16.11
146.0,230.0,3.0,827.0,28,33.06
290.2,193.5,0.0,998.2,7,21.86
162.0,190.1,18.8,838.1,28,33.76
339.0,0.0,0.0,968.0,28,32.04
322.0,0.0,0.0,974.0,180,29.59
439.0,177.0,11.1,884.9,3,39.3
212.0,0.0,7.8,1085.4,28,38.5
310.0,0.0,0.0,1012.0,7,17.24
337.9,189.0,9.5,944.7,91,67.8
289.0,0.0,0.0,913.2,28,25.57
237.5,237.5,0.0,932.0,270,38.41
158.8,238.2,0.0,1040.6,28,21.07
194.7,0.0,7.5,1006.4,3,12.45
288.0,192.0,0.0,932.0,28,38.8
136.0,162.0,10.0,923.0,28,29.07
326.0,0.0,11.0,801.0,28,40.68
296.0,0.0,11.0,819.0,28,31.42
148.1,0.0,15.0,838.9,28,15.53
350.0,0.0,0.0,974.0,7,18.13
388.6,97.1,12.1,852.1,7,34.9
238.2,158.8,0.0,1040.6,28,26.91
212.0,0.0,7.8,1085.4,3,19.52
385.0,0.0,0.0,966.0,14,27.92
339.0,0.0,0.0,968.0,3,13.22
153.0,102.0,0.0,888.0,7,8.37
446.0,24.0,10.3,967.0,56,54.77
135.7,203.5,0.0,1076.2,28,18.2
313.0,145.0,8.0,1000.0,28,44.52
213.7,98.1,6.9,1065.8,14,30.39
213.5,0.0,11.7,1043.6,3,15.61
322.0,0.0,0.0,974.0,28,25.18
178.0,129.8,3.6,1007.3,14,34.24
349.0,0.0,0.0,1047.0,180,41.05
133.0,210.0,3.0,949.0,28,31.03
229.7,0.0,6.1,1028.1,28,24.54
198.6,132.4,0.0,978.4,360,44.3
302.0,0.0,0.0,974.0,14,18.13
192.0,288.0,0.0,929.8,3,12.79
157.0,214.0,9.0,819.0,28,33.05
300.0,0.0,0.0,1075.0,28,26.85
350.0,0.0,0.0,974.0,180,32.72
295.8,0.0,0.0,1091.4,28,25.22
500.0,0.0,0.0,1125.0,14,36.94
200.0,133.0,0.0,965.4,90,43.25
401.8,94.7,11.4,946.8,7,54.1
147.0,115.0,9.0,860.0,28,19.99
540.0,0.0,0.0,1125.0,7,52.61
272.8,181.9,0.0,1012.4,28,31.38
194.7,0.0,7.5,998.0,14,24.28
359.0,19.0,10.9,942.0,3,23.64
380.0,95.0,0.0,932.0,180,40.76
198.6,132.4,0.0,978.4,180,41.72
393.0,0.0,0.0,940.0,28,39.58
166.0,260.0,13.0,859.0,28,37.91
168.0,42.1,5.7,1058.7,3,7.75
318.8,212.5,14.3,852.1,56,66.1
342.0,38.0,0.0,932.0,180,52.12
144.0,136.0,7.0,941.0,28,26.14
212.5,0.0,8.7,1007.8,3,13.54
424.0,22.0,8.9,822.0,7,40.29
500.0,0.0,0.0,1125.0,180,51.04
285.0,190.0,7.6,1031.0,28,53.58
295.7,0.0,8.9,955.1,56,48.72
213.5,0.0,11.7,1043.6,28,44.64
203.5,305.3,0.0,963.4,28,41.68
250.0,0.0,5.3,948.9,3,8.49
277.0,0.0,0.0,968.0,360,33.7
284.0,15.0,5.5,842.0,56,44.52
379.5,151.2,15.9,1134.3,56,54.9
310.0,0.0,0.0,971.0,3,9.87
387.0,20.0,13.9,938.0,56,47.97
236.0,157.0,0.0,972.6,7,20.42
425.0,106.3,18.6,936.0,56,64.9
164.6,0.0,11.7,1023.3,28,18.03
289.0,0.0,0.0,913.2,7,14.6
160.0,250.0,12.0,1049.0,28,39.45
143.6,0.0,17.9,942.7,28,15.42
266.0,114.0,0.0,932.0,180,48.7
310.0,143.0,10.0,914.0,28,45.3
304.0,76.0,0.0,932.0,28,47.81
286.3,200.9,11.2,1004.6,91,76.8
342.0,38.0,0.0,932.0,90,50.46
202.0,11.0,1.7,942.0,3,9.85
356.0,119.0,9.0,1061.0,28,59.0
230.0,0.0,4.6,1029.4,28,24.48
349.0,0.0,0.0,1047.0,7,18.13
229.7,0.0,6.1,1028.1,14,22.32
525.0,0.0,0.0,1125.0,90,58.78
237.5,237.5,0.0,932.0,90,33.12
266.0,112.0,10.0,910.0,28,39.42
218.2,54.6,11.9,1075.7,28,55.51
382.0,0.0,0.0,1047.0,7,24.0
397.0,0.0,0.0,1040.0,28,36.94
500.0,0.0,0.0,1125.0,7,33.21
249.1,0.0,12.8,987.8,3,15.36
310.0,0.0,0.0,1012.0,120,38.7
251.4,0.0,5.8,1028.4,14,29.93
500.0,0.0,0.0,1125.0,28,44.09
387.0,20.0,14.3,938.0,28,50.24
446.0,24.0,11.6,967.0,7,38.02
322.2,0.0,10.4,817.9,28,31.18
142.0,167.0,11.0,883.0,28,44.61
158.0,0.0,11.0,898.0,28,8.54
182.0,45.2,8.2,1059.4,100,48.67
168.0,42.1,5.7,1058.7,14,17.82
222.4,0.0,4.5,967.1,14,24.45
203.5,135.7,0.0,1076.2,28,22.63
540.0,0.0,0.0,1125.0,28,67.31
167.0,75.4,7.9,1007.3,14,32.9
331.0,0.0,0.0,1025.0,3,14.31
491.0,26.0,3.9,822.0,28,57.92
165.0,0.0,12.0,1023.0,28,18.03
500.0,0.0,0.0,1125.0,90,47.22
362.6,189.0,11.6,944.7,7,22.9
339.2,0.0,0.0,1069.2,28,31.9
173.8,93.4,9.7,1007.2,3,15.82
540.0,0.0,2.5,1055.0,28,61.89
154.8,183.4,9.1,877.2,28,23.79
325.6,166.4,8.9,881.6,28,61.24
290.2,193.5,0.0,998.2,28,33.04
401.8,94.7,11.4,946.8,3,41.1
213.7,98.1,6.9,1065.8,3,18.0
190.0,190.0,0.0,932.0,365,53.69
252.0,0.0,0.0,1111.0,7,13.71
289.0,0.0,0.0,913.2,90,32.07
167.0,75.4,7.9,1007.3,56,53.46
446.0,24.0,11.6,967.0,7,52.01
450.1,50.0,3.0,1124.4,28,39.38
425.0,106.3,18.6,936.0,7,46.8
218.2,54.6,11.9,1075.7,100,63.53
164.0,163.0,8.0,961.0,28,27.23
186.2,124.1,0.0,1083.4,7,8.0
218.9,0.0,11.3,1078.7,3,15.34
252.0,0.0,0.0,1111.0,28,19.69
212.0,0.0,7.8,1085.4,14,31.35
190.0,190.0,0.0,932.0,90,42.33
297.2,0.0,9.5,1022.8,3,21.91
307.0,0.0,0.0,968.0,28,27.53
173.5,50.1,6.5,1006.2,3,23.08
168.9,42.2,10.8,1080.8,56,39.15
233.8,0.0,4.6,947.0,14,22.14
276.0,116.0,9.0,870.0,28,44.28
264.5,111.0,5.9,832.6,28,41.54
305.3,203.5,0.0,965.4,28,43.38
366.0,187.0,7.0,824.0,28,65.91
424.0,22.0,8.5,882.0,3,32.01
317.9,0.0,5.7,860.5,28,40.06
359.0,19.0,10.9,942.0,7,38.61
164.0,0.0,13.0,849.0,28,15.09
212.0,0.0,7.8,1085.4,56,45.08
238.1,0.0,0.0,1118.8,7,10.34
155.0,0.0,9.0,1047.0,28,12.46
381.4,0.0,0.0,1104.6,7,14.54
250.2,166.8,0.0,977.6,28,36.96
230.0,0.0,4.6,1029.4,100,35.34
310.0,0.0,0.0,970.0,7,14.99
310.0,0.0,0.0,1012.0,28,27.83
491.0,26.0,3.9,882.0,28,55.55
122.6,183.9,0.0,958.2,3,3.32
393.0,0.0,0.0,940.6,3,19.2
304.0,76.0,0.0,932.0,180,50.95
355.0,19.0,12.3,967.0,28,55.45
228.0,342.1,0.0,955.8,7,21.92
300.0,0.0,10.0,878.0,28,23.84
331.0,0.0,0.0,978.0,3,13.52
251.4,0.0,5.8,1028.4,28,29.65
139.6,209.4,0.0,1047.0,28,28.24
275.1,0.0,9.9,1053.6,56,56.85
446.0,24.0,11.6,967.0,56,55.25
222.4,0.0,4.5,967.1,3,11.58
290.4,0.0,9.4,961.2,14,34.67
136.4,161.6,10.4,922.6,28,29.07
190.3,0.0,9.9,1088.1,14,22.72
167.4,129.9,7.8,1006.3,3,14.94
152.0,178.0,18.0,944.0,28,36.35
173.5,50.1,6.5,1006.2,28,38.2
202.0,11.0,1.7,942.0,28,21.97
214.9,53.8,9.6,1014.3,56,53.96
302.0,0.0,0.0,974.0,180,26.74
246.8,0.0,12.0,1086.8,56,60.32
133.0,200.0,0.0,927.4,7,13.66
475.0,118.8,8.9,852.1,56,72.3
236.0,157.0,0.0,972.6,90,47.78
145.0,0.0,11.0,979.0,28,13.2
362.6,189.0,11.6,944.7,7,55.9
516.0,0.0,8.3,801.0,28,41.37
337.9,189.0,9.5,944.7,3,24.1
446.0,24.0,11.6,967.0,56,56.14
277.2,97.8,11.2,1061.7,3,30.45
213.8,98.1,6.7,1066.0,100,49.97
387.0,20.0,11.6,938.0,3,34.77
286.3,200.9,11.2,1004.6,28,67.7
375.0,0.0,0.0,1038.0,28,38.21
427.5,47.5,0.0,932.0,180,41.84
310.0,0.0,0.0,1012.0,90,35.76
313.3,262.2,8.6,1046.9,3,28.8
337.9,189.0,9.5,944.7,7,35.1
168.9,42.2,10.8,1080.8,3,7.4
153.0,145.0,8.0,1000.0,28,19.01
165.0,128.5,8.1,1005.8,100,55.02
286.3,200.9,11.2,1004.6,7,38.0
